team,year,venue,lat,lon,matches,runs,fours,sixes,two_hundreds,ten_wickets,wickets,wins,toss_wins,abb
Chennai Super Kings,2014,Barabati Stadium,20.48070435,85.86852541310051,1,187,19,4,0,0,4,0,1,csk
Chennai Super Kings,2014,Brabourne Stadium,18.9320101,72.82501261609113,1,176,15,8,0,0,8,1,1,csk
Chennai Super Kings,2014,Dubai International Cricket Stadium,25.046738400000002,55.219006962225635,2,282,19,10,0,1,17,2,0,csk
Chennai Super Kings,2014,Eden Gardens,22.564561349999998,88.34424156337812,1,154,8,9,0,0,2,0,0,csk
Chennai Super Kings,2014,JSCA International Stadium Complex,23.31045215,85.27487741053811,4,620,47,25,0,0,26,2,2,csk
Chennai Super Kings,2014,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,160,13,7,0,0,6,1,1,csk
Chennai Super Kings,2014,Sharjah Cricket Stadium,25.33078055,55.42090675730459,1,146,9,8,0,0,5,1,0,csk
Chennai Super Kings,2014,Wankhede Stadium,18.9385497,72.82574081674653,2,362,30,16,1,0,12,1,2,csk
Chennai Super Kings,2014,Zayed Cricket Stadium,24.396574299999997,54.54074782546465,2,382,29,15,1,0,13,1,2,csk
Chennai Super Kings,2015,Eden Gardens,22.564561349999998,88.34424156337812,2,326,35,11,0,0,8,0,1,csk
Chennai Super Kings,2015,JSCA International Stadium Complex,23.31045215,85.27487741053811,1,140,9,3,0,0,8,1,1,csk
Chennai Super Kings,2015,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,181,17,10,0,0,8,1,0,csk
Chennai Super Kings,2015,Ma Chidambaram Stadium,13.0626873,80.27922739309865,7,1148,100,42,1,1,56,6,5,csk
Chennai Super Kings,2015,Narendra Modi Stadium,23.0917717,72.59733447335586,1,156,18,3,0,0,2,0,1,csk
Chennai Super Kings,2015,Punjab Cricket Association Stadium,30.6909,76.7375,1,134,12,3,0,0,7,1,0,csk
Chennai Super Kings,2015,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,1,170,16,5,0,0,7,0,1,csk
Chennai Super Kings,2015,Shaheed Veer Narayan Singh International Stadium,21.203402949999997,81.82302432017622,1,119,10,3,0,0,4,0,1,csk
Chennai Super Kings,2015,Wankhede Stadium,18.9385497,72.82574081674653,2,351,32,16,0,0,13,1,0,csk
Chennai Super Kings,2018,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,1,128,6,7,0,0,5,0,1,csk
Chennai Super Kings,2018,Eden Gardens,22.564561349999998,88.34424156337812,1,177,17,7,0,0,4,0,0,csk
Chennai Super Kings,2018,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,207,9,17,1,0,8,1,1,csk
Chennai Super Kings,2018,Ma Chidambaram Stadium,13.0626873,80.27922739309865,1,205,9,14,1,0,6,1,1,csk
Chennai Super Kings,2018,Maharashtra Cricket Association Stadium,18.6738164,73.7064113964208,6,1051,83,55,2,2,40,5,3,csk
Chennai Super Kings,2018,Punjab Cricket Association Stadium,30.6909,76.7375,1,193,15,8,0,0,7,0,1,csk
Chennai Super Kings,2018,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,1,182,18,8,0,0,6,1,0,csk
Chennai Super Kings,2018,Sawai Mansingh Stadium,26.8939911,75.80322693888199,1,176,14,4,0,0,6,0,1,csk
Chennai Super Kings,2018,Wankhede Stadium,18.9385497,72.82574081674653,3,490,40,25,0,0,17,3,3,csk
Chennai Super Kings,2019,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,1,150,14,5,0,0,6,1,0,csk
Chennai Super Kings,2019,Eden Gardens,22.564561349999998,88.34424156337812,1,162,21,3,0,0,8,1,1,csk
Chennai Super Kings,2019,M Chinnaswamy Stadium,12.9788243,77.60038607501548,1,160,10,8,0,0,7,0,1,csk
Chennai Super Kings,2019,Ma Chidambaram Stadium,13.0626873,80.27922739309865,8,1112,90,41,0,2,53,6,6,csk
Chennai Super Kings,2019,Punjab Cricket Association Stadium,30.6909,76.7375,1,170,16,6,0,0,4,0,0,csk
Chennai Super Kings,2019,Rajiv Gandhi International Stadium,19.028544850000003,73.04427053955325,2,280,22,9,0,0,12,0,1,csk
Chennai Super Kings,2019,Sawai Mansingh Stadium,26.8939911,75.80322693888199,1,155,5,8,0,0,7,1,1,csk
Chennai Super Kings,2019,Wankhede Stadium,18.9385497,72.82574081674653,1,133,13,4,0,0,5,0,1,csk
Chennai Super Kings,2020,Dubai International Cricket Stadium,25.046738400000002,55.219006962225635,7,1096,99,34,0,0,35,4,3,csk
Chennai Super Kings,2020,Sharjah Cricket Stadium,25.33078055,55.42090675730459,3,493,31,29,1,0,12,0,2,csk
Chennai Super Kings,2020,Zayed Cricket Stadium,24.396574299999997,54.54074782546465,4,602,58,12,0,1,28,2,3,csk
Chennai Super Kings,2021,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,2,391,39,17,1,0,9,1,0,csk
Chennai Super Kings,2021,Dubai International Cricket Stadium,25.046738400000002,55.219006962225635,5,791,63,26,0,0,33,3,2,csk
Chennai Super Kings,2021,Sharjah Cricket Stadium,25.33078055,55.42090675730459,2,296,24,13,0,0,13,2,2,csk
Chennai Super Kings,2021,Wankhede Stadium,18.9385497,72.82574081674653,5,894,75,45,1,1,39,4,2,csk
Chennai Super Kings,2021,Zayed Cricket Stadium,24.396574299999997,54.54074782546465,2,361,31,14,0,0,9,1,0,csk
Chennai Super Kings,2022,Brabourne Stadium,18.9320101,72.82501261609113,3,486,50,18,1,0,17,0,2,csk
Chennai Super Kings,2022,Dr DY Patil Sports Academy,19.0421,73.0267,4,734,55,38,2,1,28,3,1,csk
Chennai Super Kings,2022,"Maharashtra Cricket Association Stadium, Pune",18.6738164,73.7064113964208,3,531,38,27,1,0,21,1,1,csk
Chennai Super Kings,2022,Wankhede Stadium,18.9385497,72.82574081674653,4,537,41,20,0,0,16,0,2,csk
Deccan Chargers,2008,Arun Jaitley Stadium,28.637731549999998,77.24309341201518,1,182,15,9,0,0,4,0,1,deccan
